"-432","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-1046.4","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-152.46","TFE","2017-12-11 23:59:59","2017","12","Taxa de fiscalização municipal"
"-1149","DAS","2017-11-30 23:59:59","2017","10","Simples Nacional"
"-360.02","DAS","2017-08-21 23:59:59","2017","7","Simples Nacional"
"-103.07","INSS","2017-09-20 23:59:59","2017","9","INSS"
"-119","Fatura Agilize","2017-11-20 23:59:59","2017","11","Contabilidade"
"-484.43","IRPJFolha","2017-08-18 23:59:59","2017","8","IR retido do funcionário"
"-109","Fatura Agilize","2017-09-05 23:59:59","2017","9","Contabilidade"
"-338.83","COFINS","2017-10-25 23:59:59","2017","10","COFINS"
"-240","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-594.71","TFF","2017-12-28 23:59:59",NULL,NULL,"Taxa de fiscalização municipal"
"-3567.63","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-149","Fatura Agilize","2018-01-10 23:59:59","2018","1","Contabilidade"
"-3605.77","DAS","2018-02-20 23:59:59","2018","2","Simples Nacional"
"-204.92","CSLL","2018-04-30 23:59:59","2018","4","CSLL"
"-5198.47","IRPJ","2017-10-31 23:59:59","2017","10","IRPJ"
"-99","Fatura Agilize","2018-01-15 23:59:59","2018","1","Contabilidade"
"-146.67","ISSsalvador","2018-02-05 23:59:59","2018","2","ISS"
"-99","Fatura Agilize","2017-11-20 23:59:59","2017","11","Contabilidade"
"-149","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-129","Fatura Agilize","2017-08-25 23:59:59","2017","8","Contabilidade"
"-620","INSS","2017-09-22 23:59:59","2017","9","INSS"
"-103.07","INSS","2018-01-19 23:59:59","2018","1","INSS"
"-169","Fatura Agilize","2018-01-10 23:59:59","2018","1","Contabilidade"
"-103.07","INSS","2017-08-18 23:59:59","2017","8","INSS"
"-99","Fatura Agilize","2017-11-23 23:59:59","2017","11","Contabilidade"
"-327","Fatura Agilize","2017-11-10 23:59:59","2017","11","Contabilidade"
"-2606.93","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-9831.91","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-120","ISSsalvador","2017-10-05 23:59:59","2017","10","ISS"
"-199","Fatura Agilize","2017-09-20 23:59:59","2017","9","Contabilidade"
"-49.5","Fatura Agilize","2017-12-20 23:59:59","2017","12","Contabilidade"
"-577.75","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-1160.95","CSLL","2017-10-31 23:59:59","2017","10","CSLL"
"-220","INSS","2017-09-20 23:59:59","2017","9","INSS"
"-149","Fatura Agilize","2017-10-05 23:59:59","2017","10","Contabilidade"
"-169","Fatura Agilize","2017-08-25 23:59:59","2017","8","Contabilidade"
"-99","Fatura Agilize","2017-07-20 23:59:59","2017","7","Contabilidade"
"-149","Fatura Agilize","2017-09-28 23:59:59","2017","9","Contabilidade"
"-656.88","CSLL","2017-10-31 23:59:59","2017","7","CSLL"
"-103.07","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-565.63","TFF","2017-09-29 23:59:59",NULL,NULL,"Taxa de fiscalização municipal"
"-169","Fatura Agilize","2017-12-20 23:59:59","2017","12","Contabilidade"
